id,location,location_area,seller_type,type,partitioning,comfort,price,rooms_count,useful_surface,built_surface,construction_year,real_estate_type,height_regime,level,max_level,kitchens_count,bathrooms_count,garages_count,parking_lots_count,balconies_count
101,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,850,2,88,100,2016,bloc de apartamente,S+P+13E,4,13,1,1,1,1,1
102,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,900,2,63,76,2016,bloc de apartamente,S+P+13E,12,13,1,1,1,1,1
103,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,1400,3,90,107,2019,bloc de apartamente,S+P+8E,3,8,1,2,1,1,1
104,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,1,580,2,63,63,2020,bloc de apartamente,P+11E,6,11,1,1,,1,1
105,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,1000,2,54,78,2017,bloc de apartamente,S+D+P+13E,3,13,1,1,,1,1
106,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,650,2,60,70,2016,bloc de apartamente,S+P+13E,8,13,1,1,1,1,1
107,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,800,2,70,90,2016,bloc de apartamente,S+P+13E,11,13,1,2,1,1,1
108,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,800,2,70,80,2016,bloc de apartamente,S+P+13E,3,13,1,1,1,1,1
109,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,850,2,70,75,2016,bloc de apartamente,S+P+13E,12,13,1,1,1,1,1
110,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,,lux,1600,3,120,,,bloc de apartamente,S+P+5E,Parter,5,1,2,1,1,1
111,"Bucuresti, zona Floreasca",Floreasca,agency,apartament,decomandat,2,1300,4,110,120,2019,bloc de apartamente,P+4E,4,4,,2,,,
112,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,1,579,2,58,,2020,bloc de apartamente,P+11E,9,11,1,1,,1,1
113,"Bucuresti, Sector 2, zona Floreasca",Floreasca,agency,apartament,decomandat,lux,600,2,56,,2018,bloc de apartamente,S+P+11E,7,11,1,1,1,1,1
114,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,630,3,76,93,2019,bloc de apartamente,S+P+8E,7,8,1,2,1,1,1
115,"Bucuresti, zona Obor",Obor,prepay,apartament,semidecomandat,1,410,2,54,,,bloc de apartamente,,5,,,,,,
116,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,1000,3,88,107,2019,bloc de apartamente,S+P+8E,2,8,1,2,1,1,1
117,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,6500,4,204,290,1970,bloc de apartamente,D+P+3E,3,3,1,4,,3,
118,"Bucuresti, zona Vitan Mall",Vitan Mall,prepay,apartament,decomandat,1,330,1,42,,1984,bloc de apartamente,P+8E,6,8,,,,,
119,"Bucuresti, zona Dorobanti",Dorobanti,prepay,apartament,decomandat,1,500,2,50,,1984,bloc de apartamente,P+6E,2,6,,,,,
120,"Bucuresti, zona Unirii",Unirii,prepay,apartament,decomandat,lux,550,2,52,,1984,bloc de apartamente,P+10E,4,10,,,,,
121,"Bucuresti, zona Aviatiei",Aviatiei,prepay,apartament,decomandat,lux,790,2,81,,2018,bloc de apartamente,P+8E,5,8,,,,,
122,"Bucuresti, zona Stefan cel Mare",Stefan cel Mare,prepay,apartament,decomandat,1,280,1,35,,1984,bloc de apartamente,P+9E,1,9,,,,,
123,"Bucuresti, zona Militari",Militari,prepay,apartament,decomandat,,420,3,68,,,,P+10E,3,10,,1,,,
124,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,semidecomandat,lux,850,2,53,63,2019,bloc de apartamente,P+9E,3,9,1,1,1,1,1
125,"Bucuresti, zona Romana",Romana,prepay,apartament,decomandat,1,675,3,110,,1984,bloc de apartamente,P+4E,1,4,,2,,,
126,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,semidecomandat,lux,980,3,98,115,2018,bloc de apartamente,P+6E,3,6,1,2,1,,2
127,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,1000,3,87,107,2019,bloc de apartamente,S+P+7E,1,7,1,2,1,1,1
128,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,1200,3,87,107,2019,bloc de apartamente,S+P+7E,6,7,1,2,1,1,1
129,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,1500,3,103,123,2019,bloc de apartamente,S+P+8E,8,8,1,2,1,1,1
130,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,800,2,75,90,2016,bloc de apartamente,S+P+13E,10,13,1,1,1,1,1
201,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,900,2,75,90,2016,bloc de apartamente,S+P+13E,8,13,1,1,1,1,1
202,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,lux,249,1,35,40,,bloc de apartamente,P+7E,2,7,1,1,,1,1
203,"Bucuresti, zona Domenii",Domenii,agency,apartament,decomandat,1,750,2,63,74,1989,bloc de apartamente,P+8E,3,8,1,1,,,1
204,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,1,580,2,63,,2020,bloc de apartamente,P+10E,6,10,1,1,,1,1
205,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,749,3,85,103,,bloc de apartamente,P+3E,1,3,,1,,,
206,"Bucuresti, zona Unirii",Unirii,agency,apartament,decomandat,lux,1550,5,200,240,,casa/vila,P+2E,2,2,,2,,,
207,"Bucuresti, Sector 4, zona Unirii",Unirii,agency,apartament,decomandat,1,550,2,70,80,,bloc de apartamente,P+9E,6,9,,1,,,
208,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,2000,3,141,180,2009,bloc de apartamente,P+6E,2,6,1,2,,2,
209,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,2950,4,165,221,2006,bloc de apartamente,P+6E,1,6,1,3,,1,4
210,"Bucuresti, Sector 4, zona Unirii",Unirii,agency,apartament,decomandat,1,600,2,65,75,,bloc de apartamente,P+5E,2,5,,1,,,
211,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,semidecomandat,lux,2850,4,177,206,2008,bloc de apartamente,P+6E,4,6,1,3,,1,
212,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,1950,3,110,168,2008,bloc de apartamente,P+6E,4,6,1,2,,1,
213,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,semidecomandat,lux,1450,3,71,93,2019,bloc de apartamente,P+9E,3,9,1,2,,,
214,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,2000,4,173,250,2008,bloc de apartamente,P+5E,2,5,1,3,,1,3
215,"Bucuresti, zona Soseaua Nordului",Soseaua Nordului,agency,apartament,semidecomandat,lux,1300,3,85,117,2008,bloc de apartamente,P+5E,3,5,1,2,,,1
216,"Bucuresti, Sector 6, zona Drumul Taberei",Drumul Taberei,agency,apartament,decomandat,1,420,2,70,85,,bloc de apartamente,P+3E,2,3,,1,,,
217,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,1600,3,105,,2019,bloc de apartamente,S+P+6E,5,6,1,3,1,1,1
218,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,1100,2,66,,2019,bloc de apartamente,S+P+11E,2,11,1,1,1,1,1
219,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,1600,3,90,,2019,bloc de apartamente,S+P+9E,4,9,1,2,2,2,1
220,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,1000,2,53,,2001,bloc de apartamente,S+P+9E,6,9,1,1,1,1,1
221,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,740,2,60,,2015,bloc de apartamente,S+P+13E,6,13,1,1,1,1,1
222,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,970,3,65,151,2008,bloc de apartamente,P+9E,Parter,9,1,1,,,
223,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,775,3,77,93,2019,bloc de apartamente,S+P+8E,6,8,1,2,1,1,1
224,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,650,3,71,86,2019,bloc de apartamente,S+P+7E,7,7,1,2,1,1,1
225,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,750,3,70,84,2019,bloc de apartamente,S+P+7E,7,7,1,2,1,1,1
226,"Bucuresti, zona Militari",Militari,agency,apartament,semidecomandat,1,250,1,29,34,1974,bloc de apartamente,S+P+10E,10,10,,1,,,1
227,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,semidecomandat,lux,3200,5,206,437,2009,bloc de apartamente,P+9E,9,9,1,3,2,4,2
228,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,1850,3,150,176,,bloc de apartamente,P+3E,3,3,,2,,,
229,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,549,2,60,65,2019,bloc de apartamente,P+7E,6,7,1,1,1,1,1
230,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,1,550,2,50,50,2018,bloc de apartamente,P+10E,9,10,1,1,,1,1
301,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,1,450,2,70,70,2019,bloc de apartamente,P+7E,6,7,1,1,,1,1
302,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,1,400,2,55,60,2014,bloc de apartamente,P+5E,Parter,5,1,1,,,1
303,"Bucuresti, zona Pipera",Pipera,agency,apartament,semidecomandat,1,550,2,50,50,2018,bloc de apartamente,P+10E,9,10,1,1,,1,1
304,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,1,450,2,44,44,2018,bloc de apartamente,P+11E,2,11,1,1,,,1
306,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,1,600,2,60,60,2020,bloc de apartamente,P+11E,4,11,1,1,,1,1
307,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,259,1,36,40,2020,bloc de apartamente,P+3E,2,3,1,1,,,1
308,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,1,400,2,55,60,2014,bloc de apartamente,P+5E,Parter,5,1,1,,,1
309,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,1,580,2,63,63,2020,bloc de apartamente,P+11E,6,11,1,1,,1,1
310,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,1,550,2,54,59,2016,bloc de apartamente,P+9E,4,9,1,1,,1,1
311,"Bucuresti, zona Pipera",Pipera,agency,apartament,semidecomandat,1,500,2,60,70,2010,bloc de apartamente,P+7E,4,7,1,2,,1,1
312,"Bucuresti, zona Pipera",Pipera,agency,apartament,semidecomandat,1,450,2,44,44,2018,bloc de apartamente,P+11E,2,11,1,1,,,1
313,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,550,1,50,55,2020,bloc de apartamente,P+11E,10,11,,1,,1,
314,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,600,2,65,70,,bloc de apartamente,P+11E,1,11,,1,,,
315,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,749,3,80,90,2019,bloc de apartamente,P+8E,6,8,,2,,,
316,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,2,649,2,58,60,2020,bloc de apartamente,P+10E,6,10,,1,,,
317,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,630,3,70,74,,bloc de apartamente,P+8E,7,8,,1,,,
319,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,549,2,55,60,,bloc de apartamente,P+10E,8,10,,1,,,
320,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,549,2,45,50,,bloc de apartamente,P+10E,4,10,,1,,,
321,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,700,2,59,65,2019,bloc de apartamente,P+9E,7,9,,1,,1,
322,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,2,519,2,40,45,2018,bloc de apartamente,P+11E,5,11,,1,,,
323,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,849,3,75,78,,bloc de apartamente,P+7E,5,7,,1,,,
325,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,2,389,1,36,40,2019,bloc de apartamente,P+4E,Parter,4,,1,,,
326,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,2,600,2,65,70,2020,bloc de apartamente,P+11E,1,11,,1,,,
327,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,249,1,30,34,2020,bloc de apartamente,P+3E,1,3,1,1,,,1
328,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,205,1,30,34,2020,bloc de apartamente,P+3E,2,3,,1,,,
329,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,549,2,60,65,,bloc de apartamente,P+8E,7,8,,1,,,
330,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,749,3,66,71,,bloc de apartamente,P+7E,7,7,,1,,,
401,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,2,699,2,52,60,2019,bloc de apartamente,P+9E,1,9,,1,,1,
402,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,700,3,100,120,,bloc de apartamente,P+4E,1,4,,1,,,
403,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,749,3,75,80,,bloc de apartamente,P+8E,6,8,,1,,,
404,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,1,579,2,55,65,2020,bloc de apartamente,P+10E,6,10,,1,,,
405,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,2,599,2,56,60,2020,bloc de apartamente,P+5E,2,5,,1,,1,
406,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,599,2,55,60,2019,bloc de apartamente,P+10E,6,10,,1,,,
407,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,600,2,65,70,2020,bloc de apartamente,P+11E,1,11,,1,,,
408,"Bucuresti, zona Unirii",Unirii,agency,apartament,decomandat,lux,600,3,105,105,2007,bloc de apartamente,P+4E,4,4,1,2,,1,1
409,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,499,2,50,55,,bloc de apartamente,P+7E,6,7,,1,,,
410,"Bucuresti, Sector 1, zona Aviatiei",Aviatiei,agency,apartament,decomandat,1,650,4,90,99,1986,bloc de apartamente,P+4E,3,4,1,2,,,1
411,"Bucuresti, Sector 6, zona Lujerului",Lujerului,agency,apartament,decomandat,1,349,1,36,40,,bloc de apartamente,P+10E,7,10,,1,,,
412,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,649,2,62,65,,bloc de apartamente,P+11E,7,11,,1,,,
413,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,549,2,54,59,,bloc de apartamente,P+9E,4,9,,1,,,
414,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,520,2,40,50,,bloc de apartamente,P+8E,5,8,,1,,,
415,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,semidecomandat,lux,1000,2,65,96,2018,bloc de apartamente,P+12E,4,12,1,1,,,1
417,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,700,3,72,80,2019,bloc de apartamente,P+10E,7,10,,2,,2,
419,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,1100,3,125,150,2006,bloc de apartamente,P+6E,1,6,1,2,1,,1
420,"Bucuresti, Sector 1, zona Ultracentral",Ultracentral,agency,apartament,semidecomandat,lux,900,2,54,86,2020,bloc de apartamente,S+D+P+7E,2,7,1,2,1,1,2
421,"Bucuresti, Sector 1, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,750,2,55,65,2019,bloc de apartamente,S+P+10E,6,10,1,1,,,1
422,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,300,2,50,50,,bloc de apartamente,P+8E,1,8,,1,,,
423,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,semidecomandat,lux,750,2,60,73,2008,bloc de apartamente,P+5E,1,5,1,1,1,,1
424,"Bucuresti, zona Lujerului",Lujerului,agency,apartament,decomandat,1,390,1,37,40,2019,bloc de apartamente,P+11E,9,11,1,1,,,1
425,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,semidecomandat,lux,1200,3,120,150,2009,bloc de apartamente,S+D+P+9E,4,9,1,2,1,1,1
426,"Bucuresti, Sector 1, zona Domenii",Domenii,agency,apartament,decomandat,1,2000,4,175,238,2012,bloc de apartamente,P+6E,5,6,1,3,,,
427,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,semidecomandat,1,1100,3,125,148,2005,bloc de apartamente,P+5E,1,5,1,2,,1,
428,"Bucuresti, zona Unirii",Unirii,agency,apartament,decomandat,lux,690,3,80,88,2008,bloc de apartamente,P+17E,12,17,1,2,,,1
429,"Bucuresti, zona Soseaua Nordului",Soseaua Nordului,agency,apartament,decomandat,lux,2500,4,220,280,2007,bloc de apartamente,P+6E,3,6,1,4,1,,3
430,"Bucuresti, Sector 1, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,870,2,39,55,2019,bloc de apartamente,S+P+9E,1,9,1,1,,,1
501,"Bucuresti, Sector 1, zona Domenii",Domenii,agency,apartament,decomandat,1,600,1,44,63,2012,bloc de apartamente,P+6E,6,6,1,1,,,
502,"Bucuresti, Sector 3, zona Vitan Mall",Vitan Mall,agency,apartament,decomandat,1,380,2,55,62,1984,bloc de apartamente,P+8E,6,8,1,1,,,1
503,"Bucuresti, Sector 6, zona Grozavesti",Grozavesti,agency,apartament,decomandat,1,450,2,54,65,2019,bloc de apartamente,S+D+P+11E,11,11,1,1,,,1
504,"Bucuresti, Sector 2, zona Primaverii",Primaverii,agency,apartament,semidecomandat,lux,3300,4,145,180,2018,bloc de apartamente,S+P+5E,Parter,5,1,3,,2,1
505,"Bucuresti, Sector 5, zona Universitate",Universitate,agency,apartament,semidecomandat,lux,1280,2,70,,,bloc de apartamente,,2,,1,1,1,,
506,"Bucuresti, Sector 6, zona Grozavesti",Grozavesti,agency,apartament,decomandat,1,530,2,60,72,2016,bloc de apartamente,S+P+9E,1,9,1,1,,,1
507,"Bucuresti, Sector 2, zona Floreasca",Floreasca,agency,apartament,decomandat,lux,2000,3,113,,2018,bloc de apartamente,S+P+3E,3,3,1,3,1,2,2
508,"Bucuresti, Sector 6, zona Drumul Taberei",Drumul Taberei,agency,apartament,decomandat,1,230,1,40,,2018,bloc de apartamente,P+6E,6,6,1,1,,1,1
509,"Bucuresti, zona Militari",Militari,agency,apartament,decomandat,1,250,1,35,45,,bloc de apartamente,P+6E,3,6,,1,,,
510,"Bucuresti, zona Floreasca",Floreasca,agency,apartament,decomandat,2,449,1,42,50,2019,bloc de apartamente,P+10E,2,10,,1,,,
511,"Bucuresti, Sector 1, zona Ultracentral",Ultracentral,agency,apartament,semidecomandat,1,260,1,22,,2002,casa/vila,P+1E,Parter,1,1,1,,,1
512,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,semidecomandat,lux,720,2,70,80,2010,bloc de apartamente,P+11E,1,11,1,1,,1,1
513,"Bucuresti, zona Unirii",Unirii,agency,apartament,semidecomandat,lux,1200,3,90,100,2017,bloc de apartamente,P+17E,2,17,1,2,,,2
514,"Bucuresti, zona Baneasa",Baneasa,agency,apartament,decomandat,lux,1500,3,155,175,,bloc de apartamente,P+5E,2,5,,1,,,
515,"Bucuresti, zona Unirii",Unirii,agency,apartament,semidecomandat,lux,850,3,90,100,2016,bloc de apartamente,P+17E,7,17,1,2,,,2
516,"Bucuresti, Sector 3, zona Nerva Traian",Nerva Traian,agency,apartament,decomandat,1,480,2,60,70,1994,bloc de apartamente,P+9E,8,9,1,1,,,2
517,"Bucuresti, zona Floreasca",Floreasca,agency,apartament,decomandat,1,450,2,70,70,2019,bloc de apartamente,P+7E,6,7,1,1,,1,1
518,"Bucuresti, Sector 2, zona Cismigiu",Cismigiu,agency,apartament,decomandat,1,560,2,60,65,1940,bloc de apartamente,P+8E,5,8,1,1,,,1
520,"Bucuresti, zona Unirii",Unirii,agency,apartament,semidecomandat,lux,750,3,90,100,2016,bloc de apartamente,P+17E,12,17,1,2,,,2
521,"Bucuresti, zona Floreasca",Floreasca,agency,apartament,semidecomandat,1,550,2,50,50,2018,bloc de apartamente,P+10E,9,10,1,1,,1,1
523,"Bucuresti, zona Floreasca",Floreasca,agency,apartament,semidecomandat,1,450,2,44,44,2018,bloc de apartamente,P+11E,2,11,1,1,,,1
524,"Bucuresti, zona Floreasca",Floreasca,agency,apartament,decomandat,1,580,2,63,63,2020,bloc de apartamente,P+11E,6,11,1,1,,1,1
525,"Bucuresti, Sector 3, zona Decebal",Decebal,agency,apartament,decomandat,1,550,2,60,68,1994,bloc de apartamente,P+7E,4,7,1,1,,,2
526,"Bucuresti, zona Dorobanti",Dorobanti,agency,apartament,semidecomandat,lux,2000,3,92,140,2004,bloc de apartamente,P+5E,4,5,1,2,,1,
527,"Bucuresti, Sector 6, zona Grozavesti",Grozavesti,agency,apartament,decomandat,lux,390,1,40,40,2020,bloc de apartamente,S+P+11E,4,11,1,1,,,1
528,"Bucuresti, zona Unirii",Unirii,agency,apartament,semidecomandat,1,400,2,50,50,2009,bloc de apartamente,P+8E,3,8,1,1,,,
529,"Bucuresti, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,1900,3,141,180,2009,bloc de apartamente,P+6E,1,6,1,2,,2,
530,"Bucuresti, Sector 2, zona Floreasca",Floreasca,agency,apartament,decomandat,lux,2300,4,181,,2012,bloc de apartamente,S+P+5E,2,5,1,4,1,1,3
601,"Bucuresti, zona Grozavesti",Grozavesti,agency,apartament,semidecomandat,1,500,2,56,60,2018,bloc de apartamente,P+9E,9,9,1,1,,,1
602,"Bucuresti, Sector 2, zona Floreasca",Floreasca,agency,apartament,decomandat,lux,700,2,56,72,2018,bloc de apartamente,S+D+P+11E,4,11,1,1,,,1
603,"Bucuresti, zona Tineretului",Tineretului,agency,apartament,decomandat,1,450,3,83,90,,bloc de apartamente,P+8E,1,8,,1,,,
604,"Bucuresti, Sector 1, zona Bucurestii Noi",Bucurestii Noi,agency,apartament,semidecomandat,1,340,2,45,56,,bloc de apartamente,P+3E,2,3,,1,,,1
605,"Bucuresti, Sector 2, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,650,2,54,65,2020,bloc de apartamente,S+P+10E,3,10,1,1,1,1,1
606,"Bucuresti, zona Politehnica",Politehnica,agency,apartament,decomandat,1,650,3,89,98,2019,bloc de apartamente,P+11E,10,11,1,2,,1,2
607,"Bucuresti, Sector 3, zona Unirii",Unirii,agency,apartament,decomandat,1,540,2,64,84,1994,bloc de apartamente,S+P+8E,4,8,1,1,,,3
608,"Bucuresti, Sector 3, zona Unirii",Unirii,agency,apartament,decomandat,1,450,2,60,80,1991,bloc de apartamente,S+P+8E,5,8,1,1,,,1
609,"Bucuresti, Sector 5, zona 13 Septembrie",13 Septembrie,agency,apartament,semidecomandat,1,550,3,74,89,2017,bloc de apartamente,S+P+6E,5,6,1,1,,,1
611,"Bucuresti, Sector 3, zona Unirii",Unirii,agency,apartament,decomandat,1,1000,5,130,140,1992,bloc de apartamente,D+P+8E,1,8,1,2,,,2
612,"Bucuresti, zona Pipera",Pipera,agency,apartament,semidecomandat,1,550,2,45,80,2018,bloc de apartamente,S+P+4E,3,4,1,1,,1,1
613,"Bucuresti, Sector 6, zona Militari",Militari,agency,apartament,decomandat,1,400,2,60,65,,bloc de apartamente,S+P+11E,8,11,,1,,,
614,"Bucuresti, zona Floreasca",Floreasca,agency,apartament,decomandat,lux,549,2,40,50,,bloc de apartamente,P+10E,4,10,,1,,,
615,"Bucuresti, zona Kiseleff",Kiseleff,agency,apartament,decomandat,lux,1100,3,94,115,2010,bloc de apartamente,P+5E+M,3,5,1,2,,2,1
616,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,lux,600,2,58,70,2019,bloc de apartamente,D+P+6E,1,6,1,1,,1,1
617,"Bucuresti, zona Iancu Nicolae",Iancu Nicolae,agency,apartament,decomandat,lux,849,3,96,135,2016,bloc de apartamente,P+5E,3,5,,2,,,
618,"Bucuresti, Sector 3, zona Unirii",Unirii,agency,apartament,decomandat,1,550,3,75,90,1996,bloc de apartamente,S+P+8E,3,8,1,1,,,1
619,"Bucuresti, Sector 3, zona Unirii",Unirii,agency,apartament,decomandat,1,450,2,60,80,1993,bloc de apartamente,S+P+8E,2,8,1,1,,1,1
620,"Bucuresti, Sector 2, zona Eminescu",Eminescu,agency,apartament,decomandat,,900,4,88,126,,bloc de apartamente,S+P+6E,2,6,1,2,,,1
621,"Bucuresti, zona Pipera",Pipera,agency,apartament,decomandat,lux,1000,3,87,90,,bloc de apartamente,P+4E,3,4,,2,,,
622,"Bucuresti, zona Soseaua Nordului",Soseaua Nordului,agency,apartament,decomandat,lux,2500,4,205,260,2007,bloc de apartamente,P+4E,3,4,1,2,,1,
623,"Bucuresti, Sector 1, zona Baneasa",Baneasa,agency,apartament,semidecomandat,lux,550,3,72,86,,bloc de apartamente,P+6E,5,6,,1,,,
624,"Bucuresti, zona Dorobanti",Dorobanti,agency,apartament,decomandat,lux,2000,3,92,121,2004,bloc de apartamente,P+5E,4,5,1,2,,1,1
625,"Bucuresti, zona Iancu Nicolae",Iancu Nicolae,agency,apartament,semidecomandat,lux,1200,3,98,133,2020,bloc de apartamente,S+P+3E,Parter,3,1,2,,1,1
626,"Bucuresti, zona Aviatorilor",Aviatorilor,agency,apartament,decomandat,lux,2200,3,86,98,2019,bloc de apartamente,P+5E,3,5,1,2,,1,
627,"Bucuresti, Sector 1, zona Domenii",Domenii,agency,apartament,decomandat,lux,650,2,54,61,2020,bloc de apartamente,S+P+10E,3,10,1,1,,1,1
628,"Bucuresti, Sector 3, zona Unirii",Unirii,agency,apartament,decomandat,1,550,2,60,82,1993,bloc de apartamente,S+P+8E,2,8,1,1,,,1
629,"Bucuresti, Sector 3, zona P-ta Unirii",P-ta Unirii,agency,apartament,semidecomandat,1,800,3,80,100,,bloc de apartamente,P+7E,5,7,1,2,,,2
630,"Bucuresti, Sector 3, zona Unirii",Unirii,agency,apartament,decomandat,1,500,2,60,80,1993,bloc de apartamente,S+P+8E,6,8,1,1,,,2
701,"Bucuresti, zona Ghencea",Ghencea,agency,apartament,decomandat,lux,500,2,65,78,2020,bloc de apartamente,P+11E,7,11,,,,1,
702,"Bucuresti, Sector 4, zona Tineretului",Tineretului,agency,apartament,decomandat,1,340,1,40,50,1982,bloc de apartamente,S+P+8E,2,8,1,1,,,1
703,"Bucuresti, Sector 3, zona Unirii",Unirii,agency,apartament,decomandat,1,450,3,80,110,1990,bloc de apartamente,S+P+8E,6,8,1,2,,,2
704,"Bucuresti, zona Unirii",Unirii,agency,apartament,decomandat,1,650,3,85,90,1994,bloc de apartamente,P+7E,3,7,1,2,,,1
