id,location,location_area,seller_type,type,partitioning,comfort,price,rooms_count,useful_surface,built_surface,construction_year,real_estate_type,height_regime,level,max_level,kitchens_count,bathrooms_count,garages_count,parking_lots_count,balconies_count
17504,"Bucuresti, zona Tineretului",Tineretului,agency,apartament,decomandat,1,370,1,40,40,1986,bloc de apartamente,P+8E,7,8,1,1,,,1
17505,"Bucuresti, zona Pantelimon",Pantelimon,agency,apartament,decomandat,1,350,3,72,,1978,bloc de apartamente,P+8E,5,8,1,1,,,1
17506,"Bucuresti, zona Pantelimon",Pantelimon,agency,apartament,decomandat,1,390,2,62,65,,bloc de apartamente,P+12E,5,12,1,1,,,2
17507,"Bucuresti, zona Decebal",Decebal,agency,apartament,decomandat,1,690,4,110,110,1990,bloc de apartamente,P+8E,5,8,,2,,,
17508,"Bucuresti, zona P-ta Victoriei",P-ta Victoriei,agency,apartament,decomandat,1,310,1,32,37,1940,bloc de apartamente,P+4E,4,4,1,1,,,1
17509,"Bucuresti, zona Pipera",Pipera,agency,apartament,semidecomandat,1,520,2,47,52,,bloc de apartamente,P+10E,4,10,,1,,,
17510,"Bucuresti, zona Politehnica",Politehnica,agency,apartament,circular,lux,531,2,60,70,2020,bloc de apartamente,P+11E,9,11,1,1,,1,1
17511,"Bucuresti, zona Militari",Militari,agency,apartament,decomandat,1,217,1,37,39,2019,bloc de apartamente,S+D+P+9E,8,9,,1,,1,1
17512,"Bucuresti, Sector 1, zona Calea Victoriei",Calea Victoriei,agency,apartament,decomandat,1,800,3,78,89,1945,bloc de apartamente,S+P+8E,4,8,1,1,,,1
17513,"Bucuresti, Sector 5, zona 13 Septembrie",13 Septembrie,agency,apartament,decomandat,1,300,2,60,65,1986,bloc de apartamente,P+10E,2,10,1,1,,,3
17514,"Bucuresti, zona Parcul Circului",Parcul Circului,agency,apartament,decomandat,lux,420,1,33,35,,bloc de apartamente,P+4E,Demisol,4,,1,,,
17515,"Bucuresti, zona Iancului",Iancului,agency,apartament,,lux,350,1,35,,,bloc de apartamente,P+12E,10,12,,1,,,
17516,"Bucuresti, zona Colentina",Colentina,agency,apartament,semidecomandat,1,350,3,68,70,1978,bloc de apartamente,P+10E,1,10,1,1,,,1
17517,"Bucuresti, Sector 2, zona Calea Calarasilor",Calea Calarasilor,agency,apartament,circular,1,790,4,115,125,1940,casa/vila,P+2E,1,2,1,1,,,2
